code_nacres,designation,code_fournisseur,prix_ht,condt,nb_unites,prix_unitaire,marque,fournisseur,catalogue_date,page
,D-Xylose,X0808.0100,14.6,100 g,1,14.6,Duchefa Biochemie,DUCHEFA,2010-2012,138
,D-Xylose,X0808.0500,52.3,500 g,1,52.3,Duchefa Biochemie,DUCHEFA,2010-2012,138
,X-Gal,X1402.0100,15.9,100 mg,1,15.9,Duchefa Biochemie,DUCHEFA,2010-2012,87
,X-Gal,X1402.1000,48.6,1 g,1,48.6,Duchefa Biochemie,DUCHEFA,2010-2012,87
,X-Gal,X1402.5000,212.6,5 g,1,212.6,Duchefa Biochemie,DUCHEFA,2010-2012,87
,X-GlcA cyclohexylammonium salt,X1405.0100,58.4,100 mg,1,58.4,Duchefa Biochemie,DUCHEFA,2010-2012,88
,X-GlcA cyclohexylammonium salt,X1405.1000,393.9,1 g,1,393.9,Duchefa Biochemie,DUCHEFA,2010-2012,88
,X-GlcA sodium salt trihydrate,X1406.0100,59.0,100 mg,1,59.0,Duchefa Biochemie,DUCHEFA,2010-2012,88
,X-GlcA sodium salt trihydrate,X1406.1000,409.6,1 g,1,409.6,Duchefa Biochemie,DUCHEFA,2010-2012,88
,X-phos disodium salt (BCIP disodium salt),X1410.0100,25.3,100 mg,1,25.3,Duchefa Biochemie,DUCHEFA,2010-2012,88
,X-phos disodium salt (BCIP disodium salt),X1410.1000,97.8,1 g,1,97.8,Duchefa Biochemie,DUCHEFA,2010-2012,88
,X-Phos p-Toluidine salt (BCIP p-Toluidine salt),X1413.0100,40.1,100 mg,1,40.1,Duchefa Biochemie,DUCHEFA,2010-2012,89
,X-Phos p-Toluidine salt (BCIP p-Toluidine salt),X1413.1000,205.4,1 g,1,205.4,Duchefa Biochemie,DUCHEFA,2010-2012,89
,Yeast extract,Y1333.0100,9.4,100 g,1,9.4,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Yeast extract,Y1333.0500,37.8,500 g,1,37.8,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Yeast extract,Y1333.1000,61.0,1 kg,1,61.0,Duchefa Biochemie,DUCHEFA,2010-2012,139
,YPD Broth,Y1708.0100,13.8,100 g,1,13.8,Duchefa Biochemie,DUCHEFA,2010-2012,139
,YPD Broth,Y1708.0500,47.4,500 g,1,47.4,Duchefa Biochemie,DUCHEFA,2010-2012,139
,YPD Agar,Y1709.0100,13.8,100 g,1,13.8,Duchefa Biochemie,DUCHEFA,2010-2012,139
,YPD Agar,Y1709.0500,47.4,500 g,1,47.4,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Zeocin™,Z0186.0250,52.6,250 mg,1,52.6,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zeocin™,Z0186.1000,169.1,1 g,1,169.1,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zinc sulphate heptahydrate,Z0526.0500,11.1,500 g,1,11.1,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zinc sulphate heptahydrate,Z0526.1000,17.0,1 kg,1,17.0,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zeatin,Z0917.0050,86.0,50 mg,1,86.0,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Zeatin,Z0917.0100,140.1,100 mg,1,140.1,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Zeatin,Z0917.0250,313.9,250 mg,1,313.9,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Zeatin,Z0917.0500,545.7,500 mg,1,545.7,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Zeatin,Z0917.1000,957.5,1 g,1,957.5,Duchefa Biochemie,DUCHEFA,2010-2012,139
,Zeatin riboside,Z0937.0025,95.6,25 mg,1,95.6,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zeatin riboside,Z0937.0050,168.1,50 mg,1,168.1,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zeatin riboside,Z0937.0100,300.8,100 mg,1,300.8,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zeatin riboside,Z0937.0250,532.8,250 mg,1,532.8,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zeatin riboside,Z0937.0500,852.5,500 mg,1,852.5,Duchefa Biochemie,DUCHEFA,2010-2012,140
,Zeatin riboside,Z0937.1000,1550.1,1 g,1,1550.1,Duchefa Biochemie,DUCHEFA,2010-2012,140
