type,action,index_source,consommable,marque,reference,code_nacres,ancien_prix_conditionnement,ancien_prix_ht_ijm,code_ijm,score_match
solide,catalogue_ijm_ligne_separee,,"BOITE à DÉCHETS 600ml (Lames,aiguilles…)",,E01312,HA11,,3.05,E01312,
solide,catalogue_ijm_ligne_separee,,SAC AUTOCLAVE 300x500mm 10L (x20),,E058A,HA11,,1.68,E058A,
solide,catalogue_ijm_ligne_separee,,SAC AUTOCLAVE 400x780mm 30L (x20),,E059A,HA11,,3.15,E059A,
solide,catalogue_ijm_ligne_separee,,RUBAN ADHESIF de MARQUAGE COULEUR 19mmx12m,TIME TAPE,B001,NB35,,4.5,B001,
solide,catalogue_ijm_ligne_separee,,RUBAN INDICATEUR pour AUTOCLAVE 19mmx50m,,B002,NB35,,5.35,B002,
solide,catalogue_ijm_ligne_separee,,RUBAN INDICATEUR pour POUPINEL (Four)19mmx55m,,B004,NB35,,18.01,B004,
solide,catalogue_ijm_ligne_separee,,"ETIQUETTES CRYO-TAGS WHITE (-196°C) 33x13mm pour microtubes 1,5 et 2ml",,HS020,NB35,,43.73,HS020,
solide,catalogue_ijm_ligne_separee,,"ETIQUETTES TOUCH-SPOTS (-80° / +121°C) Diam 9,5mm pour microtubes 0,5 à 2ml
(Couleurs assortis)",,HS021,NB35,,166.55,HS021,
solide,catalogue_ijm_ligne_separee,,"ETIQUETTES CRYO Blanc (-196°C) 33x13mm pour microtubes 1,5 et 2ml",,HS028,NB35,,74.74,HS028,
solide,catalogue_ijm_ligne_separee,,"ETIQUETTES CRYO RONDE (-196°C) Diam 9,5mm pour microtubes 1,5 et 2ml",,HS029,NB35,,63.89,HS029,
solide,catalogue_ijm_ligne_separee,,"ETIQUETTES BRADY B-499 Blanc nylon 19,1mmX5,8m (-40 / +90 °C)",,B117,NB35,,26.82,B117,
solide,catalogue_ijm_ligne_separee,,"GAZE HYDROPHILE ""CHEESECLOTH"" (64mX91,4cm)",,E044,NB11,,154.39,E044,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,COTON CARDÉ ÉCRU 500g,,E0171,NB11,,5.89,E0171,
solide,catalogue_ijm_ligne_separee,,COTON TIGES,,D016,BB01,,2.03,D016,
solide,catalogue_ijm_ligne_separee,,ACIDE ACÉTIQUE 1litre,PROLABO,C003,NA21,,4.58,C003,
