code_nacres,designation,code_ijm,prix_ht,condt,nb_unites,prix_unitaire,marque,page
NB01,"MICROPIPETTE ""EPPENDORF"" Research PLUS 2-20µl",EA053,276.51,1,1,276.51,EPPENDORF,17
NB01,"MICROPIPETTE ""EPPENDORF"" Research PLUS 10-100µl",EA054,276.51,1,1,276.51,EPPENDORF,17
NB01,"MICROPIPETTE ""EPPENDORF"" Research PLUS 20-200µl",EA055,276.51,1,1,276.51,EPPENDORF,17
NB01,"MICROPIPETTE ""EPPENDORF"" Research PLUS 100-1000µl",EA056,276.51,1,1,276.51,EPPENDORF,17
NB01,"MICROPIPETTE ""EPPENDORF"" Research PLUS 500-5000µl",EA057,276.51,1,1,276.51,EPPENDORF,17
NB01,"MICROPIPETTE ""GILSON"" PIPETMAN L P2",P037,243.96,1,1,243.96,GILSON,17
NB01,"MICROPIPETTE ""GILSON"" PIPETMAN L P10",P038,243.96,1,1,243.96,GILSON,17
NB01,"MICROPIPETTE ""GILSON"" PIPETMAN L P20",P039A,243.96,1,1,243.96,GILSON,17
NB01,"MICROPIPETTE ""GILSON"" PIPETMAN L P200",P040A,243.96,1,1,243.96,GILSON,17
NB01,"MICROPIPETTE ""GILSON"" PIPETMAN L P1000",P041,243.96,1,1,243.96,GILSON,17
NB01,"MICROPIPETTE ""GILSON"" PIPETMAN L P5000",P042,270.43,1,1,270.43,GILSON,17
NB01,Kit Maintenance Pipetman P2. Joint torique/Embout Porte-cône GILSON,P0421,43.84,1,1,43.84,GILSON,17
NB01,Kit Maintenance Pipetman P10. Joint torique/Embout Porte-cône GILSON,P0422,45.7,1,1,45.7,GILSON,17
NB01,Kit Maintenance Pipetman P20. Joint torique/Embout Porte-cône GILSON,P043,29.84,1,1,29.84,GILSON,17
NB01,Kit Maintenance Pipetman P200. Joint torique/Embout Porte-cône GILSON,P044,29.84,1,1,29.84,GILSON,17
NB01,Kit Maintenance Pipetman P1000. Joint torique/Embout Porte-cône GILSON,P045,29.84,1,1,29.84,GILSON,17
NB01,Kit Maintenance Pipetman P5000. Joint torique/Embout Porte-cône GILSON,P046,39.16,1,1,39.16,GILSON,17
NB51,"PIPETTEUR MANUEL à mollette ""PIPETTE PUMP"" 2ml",P061,14.88,1,1,14.88,,17
NB51,"PIPETTEUR MANUEL à mollette ""PIPETTE PUMP"" 10ml",P062,15.5,1,1,15.5,,17
NB51,"PIPETTEUR MANUEL à mollette ""PIPETTE PUMP"" 25ml",P063,21.14,1,1,21.14,,17
NB12,"BOITE de STOCKAGE pour microtubes 1,5 et 2ml, avec couvercle",D0071,4.33,1,1,4.33,,17
NB12,"PORTOIR DOUBLE FACE pour micro-tubes 0,5ml ou 1,5 et 2ml",D0072,5.78,1,1,5.78,,17
NB12,"BOITE CONGÉLATION en carton 133x133mm, H 50mm, avec séparateur 9x9",D0073,5.66,1,1,5.66,,17
NB12,"CRYOBOITE SYSTEM 100 (132x132mm), pr 100 Cryotubes 1 ou 1,2ml jusqu'à -196°",D0074,6.74,1,1,6.74,THERMO,17
